"url","headline","date","author","affiliation","content"
"https://www.bbc.com/news/articles/c5y65nz6ldko","Man arrested over £7.5m international cyber fraud",2025-04-22,"Tom Burgess","BBC News, North East and Cumbria","A man has been arrested as part of a probe into a £7.5m international fraud involving a fake authentication tool used to steal passwords. The 24-year-old is being questioned in Middlesbrough in connection with offences including blackmail and money laundering. Cleveland Police said it had been working for three years on ""one of the biggest investigations into computer misuse and fraud"" it had ever been involved in. The force said the Joker OTP (one time password) bot platform was believed to have been used more than 28,000 times, across 13 countries, over the last two years. Police in The Netherlands have also arrested a 30-year-old man as part of the investigation, which has been led by Cleveland Police's Cyber Crime Unit. It involves a tool that is alleged to have been designed to convince victims to provide authentication codes and other personal information, which could be used to execute fraudulent bank transactions, the force said. Det Sgt Kevin Carter said: ""The team has been working closely with various law enforcement agencies to establish what activity has taken place, the number of victims believed to have been affected, and the identity of the individuals suspected of being involved. ""Users of the Joker OTP bot platform can rest assured that law enforcement has been watching and will be in touch."" Follow BBC Tees on X, Facebook, Nextdoor and Instagram. "
"https://www.bbc.com/news/articles/cly1xw5qe7qo","Police fatally shoot man at Toronto's international airport",2025-04-24,"Ali Abbas Ahmadi","BBC News","Police shot and killed an armed 30-year-old man at Toronto's Pearson International Airport on Thursday morning, police said. Two officers shot at the man around 07:00 local time (11:00 GMT), Ontario police's Special Investigations Unit (SIU), said in a statement.  No police officers were injured, and ""there is no known threat to the public"", according to the SIU, which is tasked with investigating incidents involving police shootings. Authorities say that the shooting happened after they were called to a ""dispute"". After several minutes of de-escalation attempts, the man pulled out a gun and police opened fire.  On Thursday morning, Peel Regional Police officers were investigating a ""man in distress"" in an SUV at Terminal 1 departures, the SIU said. Authorities said the incident happened near Terminal 1 departures.  Peel Regional Police Chief Nishan Duraiappah said officers spent about 10 minutes speaking to the group, which included two or three people who were in a dispute.  After ""an immense amount of de-escalation"", one of the individuals ""abruptly"" withdrew a gun, the chief said. Officers opened fire on the man.  The man - who police have not named - was taken to hospital where he was pronounced dead. The incident temporarily sparked travel chaos at Canada's busiest airport.  Police confirmed there were temporary road closures around the terminal, but airport authorities told the BBC that flights ""continue to operate normally"". Ontario Provincial Police advised drivers and commuters to ""avoid the area"". Buses to the airport initially were rerouted, but Toronto's public transit authority has confirmed that normal service has resumed.  Ontario Premier Doug Ford condemned the shooting.  ""What's the world coming to? You go to the airport and there's shootings happening,"" he said, according to CBC News. Pearson airport is 20km (12 miles) away from Toronto in the city of Mississauga. It is  the country's busiest airport and sees more than 40 million passengers each year.  This not the first time it has made headlines this year. In February, a Delta Air Lines flight from Minneapolis overturned at Pearson and caught fire after skidding along the runway. All 80 passengers survived."
"https://www.bbc.com/sport/football/articles/cgkg85lr0r4o",NA,NA,NA,NA,"Wales international Megan Wynne has promised to ""get through, just like I did before"" as she faces up to the second knee surgery of her career. The 32-year-old forward has confirmed she suffered an anterior cruciate ligament (ACL) injury in Perth Glory's final game of the season on Friday. Wynne joined the A-League side on a two-year contract in August 2024 after being released by Southampton, starting in 19 of the Australian side's 23 games this season. ""It's hard to find the words right now, but I do know this wasn't how the last game of the season was supposed to go,"" Wynne posted on her social media account. ""Nothing can take away from what an amazing experience this season has been.  ""I feel very proud & lucky to have played my first season in the A-League, with this group of people/players, in a place that has now become my home away from home."" Wynne, who has not added to her 24 Wales caps since a 2-0 friendly defeat against the USA in July 2023, suffered a similar injury in August 2020. She tore her ACL just weeks after joining Bristol City from Tottenham Hotspur, finally making her first appearance for the west country club in May 2021. The Hertfordshire-born player now looks set for further surgery and another long spell on the sidelines as Rhian Wilkinson's Wales continue their preparations for this summer's Euros in Switzerland. ""It's a long, tough road ahead, but one I know I will get through, just like I did before,"" she added. "
"https://www.bbc.com/audio/play/p0l7g04w",NA,NA,NA,NA,""
"https://www.bbc.com/audio/play/m002c3k1",NA,NA,NA,NA,""
"https://www.bbc.com/sport/football/videos/cwyn8v9nw0wo",NA,NA,NA,NA,""
"https://www.bbc.com/news/articles/cly6lp567r8o","His memories uncovered a secret jail - right next to an international airport",2025-04-15,"Samira Hussain","BBC News","When investigators smashed through a hastily built wall, they uncovered a set of secret jail cells. It turned out to be a freshly bricked-up doorway – an attempt to hide what lurked behind. Inside, off a narrow hallway, were tiny rooms to the right and left. It was pitch-black. The team may never have found this clandestine jail – a stone's throw from Dhaka's International Airport – without the recollections of Mir Ahmad Bin Quasem and others. A critic of Bangladesh's ousted leader, he was held there for eight years. He was blindfolded for much of his time in the prison, so he leaned on the sounds he could recall - and he distinctly remembered the sound of planes landing. That was what helped lead investigators to the military base near the airport. Behind the main building on the compound, they found the smaller, heavily guarded, windowless structure made of brick and concrete where detainees were kept. It was hidden in plain sight. Investigators have spoken to hundreds of victims like Quasem since mass protests toppled Prime Minister Sheikh Hasina Wazed's government last August, and inmates in the jails were released. Many others are alleged to have been killed unlawfully. The people running the secret prisons, including the one over the road from Dhaka airport, were largely from an elite counter-terrorism unit, the Rapid Action Battalion (RAB), acting on orders directly from Hasina, investigators say. ""The officers concerned [said] all the enforced disappearance cases have been done with the approval, permission or order by the prime minister herself,"" Tajul Islam, the chief prosecutor for the International Crimes Tribunal of Bangladesh, told the BBC. Hasina's party says the alleged crimes were carried out without its knowledge, that it bears no responsibility and that the military establishment operated alone - a charge the army rejects. Seven months on, Quasem and others may have been released, but they remain terrified of their captors, who are serving security force members and are all still free. Quasem says he never leaves home without wearing a hat and mask. ""I always have to watch my back when I'm travelling."" He slowly walks up a flight of concrete steps to show the BBC where he was kept. Pushing through a heavy metal door, he bends his head low and goes through another narrow doorway into ""his"" room, the cell where he was held for eight years. ""It felt like being buried alive, being totally cut off from the outside world,"" he tells the BBC. There were no windows and no doors to natural light. When he was inside, he couldn't tell between day or night. Quasem, a lawyer in his 40s, has done interviews before but this is the first time he has taken the media for a detailed look inside the tiny cell where he was held. Viewed by torchlight, it is so small an average-sized person would have difficulty standing up straight. It smells musty. Some of the walls are broken and bits of brick and concrete lie strewn on the ground - a last-ditch attempt by perpetrators to destroy any evidence of their crimes. ""[This] is one detention centre. We have found that more than 500, 600, 700 cells are there all through the country. This shows that this was widespread and systematic,"" says Islam, the prosecutor, who accompanied the BBC on the visit to the jail. Quasem also clearly remembers the faint blue tiles from his cell, now lying in pieces on the floor, which led investigators to this particular room. In comparison to the cells on the ground floor, this one is much larger, at 10ft x 14ft (3m x 4.3m). There is a squatting toilet off to one side. In painful detail, Quasem walks around the room, describing how he spent his time during his years in captivity. During the summers, it was unbearably hot. He would crouch on the floor and put his face as close to the base of the doorway as he could, to get some air. ""It felt worse than death,"" he says. Coming back to relive his punishment seems cruel. But Quasem believes it is important for the world to see what was done. ""The high officials, the top brass who aided and abetted, facilitated the fascist regime are still in their position,"" he says. ""We need to get our story out, and do whatever we can to ensure justice for those who didn't return, and to help those who are surviving to rehabilitate into life."" Previous reports said he was kept inside a notorious detention facility - known as Aynaghor, or ""House of Mirrors"" - inside the main intelligence headquarters in Dhaka, but investigators now believe there were many such sites. Quasem told the BBC he spent all his detention at the RAB base, apart from the first 16 days. Investigators now suspect the first site was a detective branch of police in Dhaka.  He believes he was disappeared because of his family's politics. In 2016 he'd been representing his father, a senior member of the country's largest Islamist party, the Jamaat-e-Islami, who was on trial and later hanged. Five other men the BBC spoke to described being taken away, blindfolded and handcuffed, kept in dark concrete cells with no access to the outside world. In many cases they say they were beaten and tortured. While the BBC cannot independently verify their stories, almost all say they are petrified that one day, they might bump into a captor on the street or on a bus. ""Now, whenever I get into a car or I'm alone at home, I feel scared thinking about where I was,"" Atikur Rahman Rasel, 35, says. ""I wonder how I survived, whether I was really supposed to survive. He says his nose was broken and his hand is still painful. ""They put handcuffs on me and beat me a lot.""  Rasel says he was approached by a group of men outside a mosque in Dhaka's old city last July, as anti-government protests raged. They said they were from law enforcement and he had to go with them. The next minute, he was taken into a grey car, handcuffed, hooded and blindfolded. Forty minutes later, he was pulled out of the car, taken into a building and put in a room. ""After about half an hour, people started coming in one by one and asking questions. Who are you? What do you do?"" Then the beatings started, he says. ""Being inside that place was terrifying. I felt like I would never get out."" Rasel now lives with his sister and her husband. Sitting on a dining chair in her flat in Dhaka, he describes his weeks in captivity in detail. He speaks with little emotion, seemingly detached from his experience. He too believes his detention was politically motivated because he was a student leader with the rival Bangladesh Nationalist Party (BNP), of which his father was a senior member. His brother, who lived abroad, would frequently write social media posts critical of Hasina. Rasel says there was no way of knowing where he was held. But after watching interim leader Muhammad Yunus visiting three detention centres earlier this year, he thinks he was kept in Agargaon district in Dhaka. It was an open secret that Hasina had no tolerance for political dissent. Criticising her could get you ""disappeared"" without a trace, former detainees, opponents and investigators say. But the total number of people who went missing may never become clear. A Bangladeshi NGO that has tracked enforced disappearances since 2009 has documented at least 709 people who were forcibly disappeared. Among them, 155 people remain missing. Since the Commission of Inquiry on Enforced Disappearances was created in September, they have received more than 1,676 complaints from alleged victims and more people continue to come forward. But that doesn't represent the total number, which is believed to be much higher. It is through speaking to people like Quasem that Tajul Islam is able to build a case against those responsible for the detention centres, including Sheikh Hasina. Despite being held at different sites, the narrative of victims is eerily similar. Mohammad Ali Arafat, spokesperson for Hasina's Awami League party, denies any involvement. He says if people were forcibly disappeared, it was not done under the direction of Hasina  - who remains in India, where she fled - or anyone in her cabinet. ""If any such detention did occur, it would have been a product of complex internal military dynamics,""  said Arafat. ""I see [no] political benefit for the Awami League or for the government to keep these people in secret detention."" The military's chief spokesman said it ""has no knowledge of the things being implied"". ""The army categorically denies operating any such detention centres,"" Lt Col Abdullah Ibn Zaid told the BBC.  Tajul Islam believes the people held in these prisons are evidence of Awami League involvement. ""All the people who were detained here were from different political identities and they just raised their voice against the previous regime, the government of that time, and that is why they were brought here."" To date they have issued 122 arrest warrants, but no one has yet been brought to justice. Which is why victims like Iqbal Chowdhury, 71, believe their lives are still in danger. Chowdhury wants to leave Bangladesh. For years after he was released in 2019, he didn't leave his house, not even to go to the market. Chowdhury was warned by his captors never to speak of his detention. ""If you ever reveal where you were or what happened, and if you are taken again, no one will ever find or see you again. You will be vanished from this world,"" he says he was told. Accused of writing propaganda against India and the Awami League, Chowdhury says that is why he was tortured. ""I was physically assaulted with an electric shock as well as being beaten. Now one of my fingers is heavily damaged by the electric shock. I lost my leg's strength, lost physical strength."" He remembers the sound of others being physically tortured, grown men howling and crying in agony. ""I am still scared,"" says Chowdhury. Rahmatullah, 23, is also terrified. ""They took away a year and a half of my life. Those times won't ever be returned,"" he says. ""They made me sleep in a place where a human being should not even be."" On 29 August 2023, he was taken from his home at midnight by RAB officers, some in uniform and others dressed in plain clothes. He was working as a cook in a neighbouring town while training to be an electrician. After repeated interrogations, it became clear to Rahmatullah he was being forcibly detained for his anti-India and Islamic posts on social media. Using a pen and paper, he draws the layout of his cell, including the open drain he would use to relieve himself. ""Even thinking about that place in Dhaka makes me feel horrible. There was no space to lie down properly, so I had to sleep being curled up. I couldn't stretch my legs while lying down.""  The BBC also interviewed two other former detainees – Michael Chakma and Masrur Anwar – to corroborate some of the details about the secret prisons and what is alleged to have gone on inside them. Some of the victims live with physical scars from their detentions. All of them talk about the psychological torment that follows them everywhere they go. Bangladesh is at a pivotal moment in its history as it tries to rebuild after years of autocratic rule. A crucial test of the country's progress towards democracy will be its ability to hold a fair trial for the perpetrators of these crimes. Islam believes it can, and must happen. ""We must stop the recurrence of this type of offence for our future generations. And we have to do justice for the victims. They suffered a lot."" Standing in what remains of his concrete cell, Quasem says a trial must take place as soon as possible so the country can close this chapter. It's not so simple for Rahmatullah. ""The fear has not gone away. The fear will remain until I die."""
"https://www.bbc.com/audio/play/w3ct73t6",NA,NA,NA,NA,""
"https://www.bbc.com/news/articles/cg411rrnkkko","Why has Trump revoked hundreds of international student visas?",2025-04-09,"Brandon Drenon","BBC News","The Trump administration has revoked visas of hundreds of international students and detained roughly a dozen others on college campuses across the US, often without any warning or recourse for appeals. Videos of some of the arrests, showing plain-clothes officers handcuff and arrest students near their homes, have gone viral and sent shockwaves through the international student community. Over 80 universities have reported revoked visas, according to a tracker by Inside Higher Ed, hitting students and faculty from coast-to-coast.  US Secretary of State Marco Rubio confirmed last month that at least 300 visas have been revoked, adding that the department was targeting those who were involved in activities that ""run counter"" to US national interests.  Many of those targeted have participated in some form of pro-Palestinian activity. In other cases, cancellations appear to be connected to those with some sort of  criminal record, or legal infractions like driving over the speed limit, immigration lawyers have said.  Immigration experts say visa-holding students have the same First Amendment right to free speech as US citizens, and historically it has been rare for students to be deported because of acts of political expression. But they are vulnerable to deportation because of the temporary nature of their visa. Lawyers for some of the students who have filed lawsuits against the federal government say their visas were revoked suddenly, without any warning and without recourse for appeal or corrections.  Rubio has said that student visas are for studying and warned they would be revoked if foreigners were seen as engaging in ""destabilizing"" acts. In a transcript released by the US State Department, Rubio said ""it might be more"" than 300 visas that have been revoked.  ""I don't know actually if it's primarily student visas. It's a combination of visas,"" he told reporters. Those affected have predominantly been involved in pro-Palestinian protests, he said, but have also included some who have prior criminal charges.  A Turkish citizen and University of Minnesota student was detained in March after his visa was revoked for a prior drunk driving infraction, according to the BBC's media partner CBS News. Other reports show students have had their visas revoked after they were found to have prior speeding tickets.  Faculty members and rights advocates have expressed concern about students' ability to share their opinions without risking their legal status. ""No president should be allowed to set an ideological litmus test and exclude or remove people from our country who they disagree with,"" the American Civil Liberties Union (ACLU) said in a statement. The White House has defended its actions using a provision of a 1952 law that grants the secretary of state broad authority to expel foreigners believed to pose ""potentially serious adverse foreign policy consequences"" for the US. Inside Higher Ed tracker identifies more than 80 colleges and universities where international students and recent graduates have had their legal status changed by the State Department. It lists major public universities with tens-of-thousands of students like Texas A&M University, University of Oregon, University of Florida and University of Colorado. It also includes smaller private institutions like Dartmouth College, Harvard University, Yale University, Columbia University and Stanford University.  Federal authorities revoked visas of at least eight students at Arizona State University and at least six people at the University of California Berkeley, according to the Washington Post. At least 57 visas have been revoked from across the entire University of California system, according to the Wall Street Journal, and seven at Ohio State University. There are roughly 1.1 million international student visa-holders in the US.  Multiple students and faculty have been detained, including those on student visas and at least one permanent legal US resident.  Once in custody, they have been sent to detention centres across the US where they await deportation.  Video footage of some of the arrests shows plain-clothes Immigration and Customs Enforcement (ICE) officers approaching confused and frightened students, before they are placed in the back of unmarked cars. Some of those detained have alleged they were arrested without explanation and say they have committed no crimes.  One of the most high profile cases involves Mahmoud Khalil, a recent Columbia University graduate and legal permanent resident who was arrested in his university-owned home in March.  The other case to capture national attention involves Tufts University student and Turkish national Rumeysa Ozturk. Footage of Ms Ozturk's detainment shows her shaking in fear as she is encircled by six plain-clothes ICE agents wearing masks who stopped her on the street as she was headed to a Ramadan celebration.  Rasha Alawieh, a Brown University professor and kidney transplant specialist, was deported after arriving at Boston airport.  US officials said they found ""photos and videos"" on her cell phone that were ""sympathetic"" to Hezbollah. At least two students who had their visas revoked have fled to Canada, including Momodou Taal and Ranjani Srinivasan. Several students have sued the government to challenge their visa revocations and detainment amid a bid to delay or block their deportation.  They allege that they have been arrested and detained without cause or explanation, a possible violation of their civil rights.  One example includes Xiaotian Liu, a 26-year-old doctoral student from China who studies at Dartmouth College. Mr Liu is suing the government along with the American Civil Liberties Union of New Hampshire, alleging that his visa has been revoked ""without any notice and sufficient explanation"". Mr Liu has not committed any crimes or participated in any protests, according to the lawsuit. "
"https://www.bbc.com/sport/darts/articles/cx2v530kl45o",NA,NA,NA,NA,"Stephen Bunting beat fellow Englishman Nathan Aspinall 8-5 to win the International Open in Germany - his first European Tour title. Bunting had ended a run of eight match defeats in the Premier League on Thursday when he won night nine in Berlin. The 39-year-old continued his impressive form on German soil with a confident display in Sunday's final at the Sachsen Arena in Riesa as he averaged 100.19 to Aspinall's 91.36. Bunting raced into a 3-1 lead, but 33-year-old Aspinall got back on level terms with two bullseye finishes, including a 130 checkout. Aspinall, who had been seeking back-to-back European Tour wins after he lifted the European Darts Trophy in Gottingen last month, was unable to achieve that aim as Bunting took charge of the contest. Bunting, nicknamed 'Bullet', reeled off the next three legs and even though Aspinall remained in touch he was unable to wrestle back the momentum. Earlier, Bunting had claimed a thrilling 7-6 win Luke Humphries - his second win over the over world number one in a week - to reach the final. Humphries came from 4-1 down to draw level, but Bunting produced an 11-dart finish to take victory. Neither Luke Littler nor Michael van Gerwen took part in the tournament. Final Stephen Bunting 8-5 Nathan Aspinall Semi-finals Stephen Bunting 7-6 Luke Humphries Nathan Aspinall 7-4 Martin Schindler Quarter-finals Luke Humphries 6-3 Wessel Nijman Stephen Bunting 6-2 Karel Sedlacek Nathan Aspinall 6-2 Josh Rock Martin Schindler 6-2 Peter Wright"
