"","url","headline","date","author","affiliation","content"
"1","https://www.bbc.com/news/articles/c5y65nz6ldko","Man arrested over £7.5m international cyber fraud","2025-04-22","Tom Burgess","BBC News, North East and Cumbria","a man has been arrested as part of a probe into a m international fraud involving a fake authentication tool used to steal passwords the year old is being questioned in middlebrow in connection with offenses including blackmail and money laundering Cleveland police said it had been working for three years on one of the biggest investigations into computer misuse and fraud it had ever been involved in the force said the joker top one time password bot platform was believed to have been used more than times across countries over the last two years police in the Netherlands have also arrested a year old man as part of the investigation which has been led by Cleveland police s cuber crime unit it involves a tool that is alleged to have been designed to convince victims to provide authentication codes and other personal information which could be used to execute fraudulent bank transactions the force said ted Sgt Kevin carter said the team has been working closely with various law enforcement agencies to establish what activity has taken place the number of victims believed to have been affected and the identity of the individuals suspected of being involved users of the joker top bot platform can rest assured that law enforcement has been watching and will be in touch follow BBC tees on x Facebook next door and Instagram"
"2","https://www.bbc.com/news/articles/cly1xw5qe7qo","Police fatally shoot man at Toronto's international airport","2025-04-24","Ali Abbas Ahmadi","BBC News","police shot and killed an armed year old man at Toronto s Pearson international airport on Thursday morning police said two officers shot at the man around local time GMT Ontario police s special investigations unit sou said in a statement no police officers were injured and there is no known threat to the public according to the sou which is tasked with investigating incidents involving police shootings authorities say that the shooting happened after they were called to a dispute after several minutes of DE escalation attempts the man pulled out a gun and police opened fire on Thursday morning peel regional police officers were investigating a man in distress in an SUV at terminal departures the sou said authorities said the incident happened near terminal departures peel regional police chief vanish apparatchik said officers spent about minutes speaking to the group which included two or three people who were in a dispute after an immense amount of DE escalation one of the individuals abruptly withdrew a gun the chief said officers opened fire on the man the man who police have not named was taken to hospital where he was pronounced dead the incident temporarily sparked travel chaos at Canada s busiest airport police confirmed there were temporary road closures around the terminal but airport authorities told the BBC that flights continue to operate normally Ontario provincial police advised drivers and commuters to avoid the area buses to the airport initially were rerouted but Toronto s public transit authority has confirmed that normal service has resumed Ontario premier Doug ford condemned the shooting what s the world coming to you go to the airport and there s shootings happening he said according to CBC news Pearson airport is km miles away from Toronto in the city of Mississauga it is the country s busiest airport and sees more than million passengers each year this not the first time it has made headlines this year in February a delta air lines flight from Minneapolis overturned at Pearson and caught fire after skidding along the runway all passengers survived"
"3","https://www.bbc.com/sport/football/articles/cgkg85lr0r4o",NA,NA,NA,NA,"wales international Megan Lynne has promised to get through just like i did before as she faces up to the second knee surgery of her career the year old forward has confirmed she suffered an anterior crucial ligament cal injury in Perth glory s final game of the season on Friday Lynne joined the a league side on a two year contract in august after being released by Southampton starting in of the Australian side s games this season it s hard to find the words right now but i do know this awns t how the last game of the season was supposed to go Lynne posted on her social media account nothing can take away from what an amazing e tongue sticking out experience this season has been i feel very proud lucky to have played my first season in the a league with this group of people players in a place that has now become my home away from home Lynne who has not added to her wales caps since a friendly defeat against the USA in July suffered a similar injury in august she tore her cal just weeks after joining Bristol city from totterer hot spur finally making her first appearance for the west country club in may the rutherfordium born player now looks set for further surgery and another long spell on the sidelines as rhino Wilkinson s wales continue their preparations for this summer s euros in Switzerland it s a long tough road ahead but one i know i will get through just like i did before she added"
"4","https://www.bbc.com/news/articles/cly6lp567r8o","His memories uncovered a secret jail - right next to an international airport","2025-04-15","Samira Hussain","BBC News","when investigators smashed through a hastily built wall they uncovered a set of secret jail cells it turned out to be a freshly bricked up doorway an attempt to hide what lurked behind inside off a narrow hallway were tiny rooms to the right and left it was pitch black the team may never have found this clandestine jail a stone s throw from Dhaka s international airport without the recollections of rim Ahmad bin quasar and others a critic of Bangladesh s ousted leader he was held there for eight years he was blindfolded for much of his time in the prison so he leaned on the sounds he could recall and he distinctly remembered the sound of planes landing that was what helped lead investigators to the military base near the airport behind the main building on the compound they found the smaller heavily guarded windowless structure made of brick and concrete where detainees were kept it was hidden in plain sight investigators have spoken to hundreds of victims like quasar since mass protests toppled prime minister sheikh aphasia waxed s government last august and inmates in the jails were released many others are alleged to have been killed unlawfully the people running the secret prisons including the one over the road from Dhaka airport were largely from an elite counter terrorism unit the rapid action battalion bar acting on orders directly from aphasia investigators say the officers concerned said all the enforced disappearance cases have been done with the approval permission or order by the prime minister herself tactful Islam the chief prosecutor for the international crimes tribunal of Bangladesh told the BBC aphasia s party says the alleged crimes were carried out without its knowledge that it bears no responsibility and that the military establishment operated alone a charge the army rejects seven months on quasar and others may have been released but they remain terrified of their captors who are serving security force members and are all still free quasar says he never leaves home without wearing a hat and mask i always have to watch my back when i m traveling he slowly walks up a flight of concrete steps to show the BBC where he was kept pushing through a heavy metal door he bends his head low and goes through another narrow doorway into his room the cell where he was held for eight years it felt like being buried alive being totally cut off from the outside world he tells the BBC there were no windows and no doors to natural light when he was inside he could t tell between day or night quasar a lawyer in his s has done interviews before but this is the first time he has taken the media for a detailed look inside the tiny cell where he was held viewed by torchlight it is so small an average sized person would have difficulty standing up straight it smells musty some of the walls are broken and bits of brick and concrete lie strewn on the ground a last ditch attempt by perpetrators to destroy any evidence of their crimes this is one detention center we have found that more than cells are there all through the country this shows that this was widespread and systematic says Islam the prosecutor who accompanied the BBC on the visit to the jail quasar also clearly remembers the faint blue tiles from his cell now lying in pieces on the floor which led investigators to this particular room in comparison to the cells on the ground floor this one is much larger at ft x ft m x m there is a squatting toilet off to one side in painful detail quasar walks around the room describing how he spent his time during his years in captivity during the summers it was unbearably hot he would crouch on the floor and put his face as close to the base of the doorway as he could to get some air it felt worse than death he says coming back to relive his punishment seems cruel but quasar believes it is important for the world to see what was done the high officials the top brass who aided and abetted facilitated the fascist regime are still in their position he says we need to get our story out and do whatever we can to ensure justice for those who did t return and to help those who are surviving to rehabilitate into life previous reports said he was kept inside a notorious detention facility known as anchorage or house of mirrors inside the main intelligence headquarters in Dhaka but investigators now believe there were many such sites quasar told the BBC he spent all his detention at the bar base apart from the first days investigators now suspect the first site was a detective branch of police in Dhaka he believes he was disappeared because of his family s politics in he d been representing his father a senior member of the country s largest Islamist party the pajama e mislaid who was on trial and later hanged five other men the BBC spoke to described being taken away blindfolded and handcuffed kept in dark concrete cells with no access to the outside world in many cases they say they were beaten and tortured while the BBC cannot independently verify their stories almost all say they are petrified that one day they might bump into a captor on the street or on a bus now whenever i get into a car or i m alone at home i feel scared thinking about where i was batik Brahman laser says i wonder how i survived whether i was really supposed to survive he says his nose was broken and his hand is still painful they put handcuffs on me and beat me a lot laser says he was approached by a group of men outside a mosque in Dhaka s old city last July as anti government protests raged they said they were from law enforcement and he had to go with them the next minute he was taken into a Grey car handcuffed hooded and blindfolded forty minutes later he was pulled out of the car taken into a building and put in a room after about half an hour people started coming in one by one and asking questions who are you what do you do then the beatings started he says being inside that place was terrifying i felt like i would never get out laser now lives with his sister and her husband sitting on a dining chair in her flat in Dhaka he describes his weeks in captivity in detail he speaks with little emotion seemingly detached from his e tongue sticking out experience he too believes his detention was politically motivated because he was a student leader with the rival Bangladesh nationalist party bap of which his father was a senior member his brother who lived abroad would frequently write social media posts critical of aphasia laser says there was no way of knowing where he was held but after watching interim leader Muhammad sinus visiting three detention centers earlier this year he thinks he was kept in gargantuan district in Dhaka it was an open secret that aphasia had no tolerance for political dissent criticizing her could get you disappeared without a trace former detainees opponents and investigators say but the total number of people who went missing may never become clear a Bangladeshi no that has tracked enforced disappearances since has documented at least people who were forcibly disappeared among them people remain missing since the commission of inquiry on enforced disappearances was created in September they have received more than complaints from alleged victims and more people continue to come forward but that does t represent the total number which is believed to be much higher it is through speaking to people like quasar that tactful Islam is able to build a case against those responsible for the detention centers including sheikh aphasia despite being held at different sites the narrative of victims is eerily similar Mohammad ail Arafat spokesperson for aphasia s swami league party denies any involvement he says if people were forcibly disappeared it was not done under the direction of aphasia who remains in India where she fled or anyone in her cabinet if any such detention did occur it would have been a product of complex internal military dynamics said Arafat i see no political benefit for the swami league or for the government to keep these people in secret detention the military s chief spokesman said it has no knowledge of the things being implied the army categorically denies operating any such detention centers Lt col mullah bin aid told the BBC tactful Islam believes the people held in these prisons are evidence of swami league involvement all the people who were detained here were from different political identities and they just raised their voice against the previous regime the government of that time and that is why they were brought here to date they have issued arrest warrants but no one has yet been brought to justice which is why victims like Iqbal chowder believe their lives are still in danger chowder wants to leave Bangladesh for years after he was released in he did t leave his house not even to go to the market chowder was warned by his captors never to speak of his detention if you ever reveal where you were or what happened and if you are taken again no one will ever find or see you again you will be vanished from this world he says he was told accused of writing propaganda against India and the swami league chowder says that is why he was tortured i was physically assaulted with an electric shock as well as being beaten now one of my fingers is heavily damaged by the electric shock i lost my leg s strength lost physical strength he remembers the sound of others being physically tortured grown men howling and crying in agony i am still scared says chowder ayatollah is also terrified they took away a year and a half of my life those times won t ever be returned he says they made me sleep in a place where a human being should not even be on august he was taken from his home at midnight by bar officers some in uniform and others dressed in plain clothes he was working as a cook in a neighboring town while training to be an electrician after repeated interrogations it became clear to ayatollah he was being forcibly detained for his anti India and Islamic posts on social media using a pen and paper he draws the layout of his cell including the open drain he would use to relieve himself even thinking about that place in Dhaka makes me feel horrible there was no space to lie down properly so i had to sleep being curled up i could t stretch my legs while lying down the BBC also interviewed two other former detainees Michael charisma and masseur an war to corroborate some of the details about the secret prisons and what is alleged to have gone on inside them some of the victims live with physical scars from their detentions all of them talk about the psychological torment that follows them everywhere they go Bangladesh is at a pivotal moment in its history as it tries to rebuild after years of autocratic rule a crucial test of the country s progress towards democracy will be its ability to hold a fair trial for the perpetrators of these crimes Islam believes it can and must happen we must stop the recurrence of this type of offense for our future generations and we have to do justice for the victims they suffered a lot standing in what remains of his concrete cell quasar says a trial must take place as soon as possible so the country can close this chapter it s not so simple for ayatollah the fear has not gone away the fear will remain until i die"
"5","https://www.bbc.com/news/articles/cg411rrnkkko","Why has Trump revoked hundreds of international student visas?","2025-04-09","Brandon Drenon","BBC News","the trump administration has revoked visas of hundreds of international students and detained roughly a dozen others on college campuses across the us often without any warning or recourse for appeals videos of some of the arrests showing plain clothes officers handcuff and arrest students near their homes have gone viral and sent shock waves through the international student community over universities have reported revoked visas according to a tracker by inside higher ed hitting students and faculty from coast to coast us secretary of state macro rubbish confirmed last month that at least visas have been revoked adding that the department was targeting those who were involved in activities that run counter to us national interests many of those targeted have participated in some form of pro Palestinian activity in other cases cancellations appear to be connected to those with some sort of criminal record or legal infractions like driving over the speed limit immigration lawyers have said immigration e tongue sticking out erst say visa holding students have the same first amendment right to free speech as us citizens and historically it has been rare for students to be deported because of acts of political e tongue sticking out session but they are vulnerable to deportation because of the temporary nature of their visa lawyers for some of the students who have filed lawsuits against the federal government say their visas were revoked suddenly without any warning and without recourse for appeal or corrections rubbish has said that student visas are for studying and warned they would be revoked if foreigners were seen as engaging in destabilizing acts in a transcript released by the us state department rubbish said it might be more than visas that have been revoked i don t know actually if it s primarily student visas it s a combination of visas he told reporters those affected have predominantly been involved in pro Palestinian protests he said but have also included some who have prior criminal charges a Turkish citizen and university of Minnesota student was detained in march after his visa was revoked for a prior drunk driving infraction according to the BBC s media partner CBS news other reports show students have had their visas revoked after they were found to have prior speeding tickets faculty members and rights advocates have e tongue sticking out dressed concern about students ability to share their opinions without risking their legal status no president should be allowed to set an ideological litmus test and exclude or remove people from our country who they disagree with the American civil liberties union ACLU said in a statement the white house has defended its actions using a provision of a law that grants the secretary of state broad authority to e tongue sticking out e foreigners believed to pose potentially serious adverse foreign policy consequences for the us inside higher ed tracker identifies more than colleges and universities where international students and recent graduates have had their legal status changed by the state department it lists major public universities with tens of thousands of students like taxes a m university university of Oregon university of Florida and university of Colorado it also includes smaller private institutions like Dartmouth college Harvard university Yale university Columbia university and Stanford university federal authorities revoked visas of at least eight students at Arizona state university and at least six people at the university of California Berkeley according to the Washington post at least visas have been revoked from across the entire university of California system according to the wall street journal and seven at Ohio state university there are roughly million international student visa holders in the us multiple students and faculty have been detained including those on student visas and at least one permanent legal us resident once in custody they have been sent to detention centers across the us where they await deportation video footage of some of the arrests shows plain clothes immigration and customs enforcement ice officers approaching confused and frightened students before they are placed in the back of unmarked cars some of those detained have alleged they were arrested without e tongue sticking out la nation and say they have committed no crimes one of the most high profile cases involves mahout phalli a recent Columbia university graduate and legal permanent resident who was arrested in his university owned home in march the other case to capture national attention involves tufts university student and Turkish national rummest turkey footage of ms turkey s detainment shows her shaking in fear as she is encircled by six plain clothes ice agents wearing masks who stopped her on the street as she was headed to a Ramadan celebration rash alewife a brown university professor and kidney transplant specialist was deported after arriving at Boston airport us officials said they found photos and videos on her cell phone that were sympathetic to Hezbollah at least two students who had their visas revoked have fled to Canada including outmoded teal and janitor minivan several students have sued the government to challenge their visa revocations and detainment amid a bid to delay or block their deportation they allege that they have been arrested and detained without cause or e tongue sticking out la nation a possible violation of their civil rights one example includes titian lii a year old doctoral student from china who studies at Dartmouth college rm lii is suing the government along with the American civil liberties union of new Hampshire alleging that his visa has been revoked without any notice and sufficient e tongue sticking out la nation rm lii has not committed any crimes or participated in any protests according to the lawsuit"
"6","https://www.bbc.com/sport/darts/articles/cx2v530kl45o",NA,NA,NA,NA,"Stephen bunting beat fellow Englishman Nathan spinal to win the international open in Germany his first European tour title bunting had ended a run of eight match defeats in the premier league on Thursday when he won night nine in Berlin the year old continued his impressive form on German soil with a confident display in Sunday s final at the sachet arena in caries as he averaged to spinal s bunting raced into a lead but year old spinal got back on level terms with two bullseye finishes including a checkout spinal who had been seeking back to back European tour wins after he lifted the European darts trophy in totting last month was unable to achieve that aim as bunting took charge of the contest bunting nicknamed bullet reeled off the next three legs and even though spinal remained in touch he was unable to wrestle back the momentum earlier bunting had claimed a thrilling win Luke humidifies his second win over the over world number one in a week to reach the final humidifies came from down to draw level but bunting produced an dart finish to take victory neither Luke littler nor Michael van gender took part in the tournament final Stephen bunting Nathan spinal semi finals Stephen bunting Luke humidifies Nathan spinal martin Schindler quarter finals Luke humidifies weasel mania Stephen bunting barrel shellacked Nathan spinal josh rock martin Schindler peter wright"
"7","https://www.bbc.com/sport/darts/articles/c9w85llg7j5o",NA,NA,NA,NA,"Raymond van barnacled booked his place in the last of the international open with a victory against johnny Clayton van barnacled made a confident start to the second round match at sachet arena in caries Germany to take a advantage over wales Clayton and never looked back the year old Dutchman ranked ht in the pd order of merit averaged while a below par Clayton managed just van barnacled s compatriot weasel mania also pulled off a minor upset when he knocked out Chris obey elsewhere world number one Luke humidifies reeled off six consecutive legs as he cruised into the third round with a win over dirk van duijvenbode Englishman Stephen bunting found it slightly tougher during a gritty win over radius laboriousness of Lithuania Welshman gingery price clinched a victory against mike DE Decker Cameron Menzies edged out James wade and peter wright won by the same margin against hitcher ed house rob cross has pulled out of the tournament because of illness so Germany s martin Schindler was given a bye to the next round the third round quarter finals semi finals and final will be played on Sunday Luke humidifies v Ross smith Damon heat v weasel mania Stephen bunting v Cameron Menzies Raymond van barnacled v barrel shellacked Andrew gilding v josh rock gingery price v Nathan spinal martin Schindler v dimity van den berg Dave challis v peter wright"
"8","https://www.bbc.com/news/articles/cpq7l09z5e5o","N Korea holds first international marathon in six years","2025-04-07","Kelly Ng","BBC News","north chorea has held the Pyongyang international marathon for the first time in six years welcoming some foreign runners to the streets of the reclusive country s capital the marathon which was launched in took place annually in April to celebrate the birth of its founding leader Kim IL sung before Sunday s marathon the race was last held in wherein foreigners participated north chorea sealed itself off the following year when the oviduct pandemic hit north chorea has been slow to reopen since allowing only Russian tourists into its capital since last year runners have had to enter the country as part of an organized tour group as was the case before the pandemic hickory tours a Beijing based travel agency listed as an exclusive partner on the event website offers six day marathon tours at euros including flights to and from Beijing the Pyongyang marathon is an extremely unique e tongue sticking out experience as it provides an opportunity to interact with locals the agency wrote on its website Sunday s marathon route took participants past landmarks across the city including the Kim IL sung stadium the arch of triumph built to commemorate Kim IL sung s role in resisting Japanese rule and the mire future scientists street said to be a residential district for scientists and engineers pictures online show the stadium where runners start and finish their race filled with spectators many of them cheering and waving gold colored paper flags oak chum dong a north Korean runner told Reuters news agency the eyes of our people on me helped me to bear the difficulties whenever i feel tired there is no publicly available information on race results north chorea had only started to scale back oviduct restrictions in the middle of in funerary it allowed some western tourists into the remote eastern city ration but suspended those tours just weeks after"
"9","https://www.bbc.com/news/articles/c62j22jr7n8o","Trump and Starmer to unveil deal to cut tariffs","2025-05-08","Peter Hoskins and Henry Zeffman","Business reporter and political correspondent","downing street says prime minister sir heir smarter will make an announcement about a deal with the us on tariffs later today the prime minister will always act in Britain s national interest for workers for business for families a no spokesperson said the UK government has been seeking an agreement to lower tariffs since president Donald trump imposed them on almost every country in the world last month president trump appeared to allude to the agreement when he posted on social media on Wednesday night saying he would announced a major trade deal with a highly respected country on April trump announced steep tariffs on dozens of trading partners before announcing a day pause on the levies governments from around the world have been scrambling to strike deals with Washington before the new deadline passes the us has left a global tariff in place which included the UK though the long time ally of America was not subject to the administration s higher reciprocal tariffs the UK is also subject to a us import tax on steel aluminum and cars Washington is close to agreeing trade deals with India and Israel according to reports the administration is also continuing talks with several other countries including japan south chorea and Vietnam trump has said he wants nations to strike new deals with the us as he tries to radically reshape the global trading system this week the us and china announced that their top trade officials will start talks to try to DE escalate a dispute between the world s two biggest economies Chinese vice premier he lifelong will attend the talks in Switzerland from to may china s ministry of foreign affairs said us treasury secretary Scott essential and us trade representative rust jasmine Greer will represent Washington at the meeting their offices announced since returning to the white house trump has imposed new import taxes on Chinese goods of up to Beijing has hit back with levies on some goods from the us of it will be the first high level interaction between the two countries since Chinese vice president nah lengthen attended trump s inauguration in January but global trade e tongue sticking out erst have told the BBC that they e tongue sticking out etc negotiations to take several months separately the UK and India agreed to a trade deal earlier this week which will make it easier for UK firms to e tongue sticking out rot whisk cars and other products to India and cut taxes on India s clothing and footwear e tongue sticking out rots"
"10","https://www.bbc.com/news/articles/cgkg78ykmjpo","Orkney landmark on International Island Games medals","2025-04-02",NA,NA,"the medals for the first international island games to be held in Orkney will feature an image of the islands famous standing stones Jodie brown from firewall designed the medals and won a competition to see them brought to life the winning blueprint was picked by Orkney jeweler sheila fleet who described it as iconic hundreds of athletes from island groups around the world are e tongue sticking out acted to descend on Orkney in July for the biennial sports event Jodie has created a very iconic design with so much that symbolizes Orkney s rich cultural heritage ms fleet said the hollow circle stands for Orkney and the presence of the iconic standing stones as a medal it has great impact thirsty Talbot the director of Orkney added it is extremely fitting that the medals designed for the athletes celebrate Orkney s iconic landscape and will be a perfect tribute to the winning athletes who compete in our games presenter Lorraine Kelly will host the opening ceremony of the games which run from July archery athletics badminton bowls cycling football golf gymnastics sailing squash swimming and the triathlon will feature it is only the second time the games has been hosted in Scotland Orkney is one of the smallest group of islands in terms of population to have ever hosted the island games which started in the last island games were held in Guernsey in"
